climb_name,climb_url,length,steepness,top,km_before_finnish,race_name
Kapelberg,location/kapelberg,0.8,5.2,79,47,e3-harelbeke
Tiegemberg,location/tiegemberg,0.8,5.0,75,21,e3-harelbeke
Stationberg,location/stationsberg,0.7,4.2,60,58,e3-harelbeke
Taaienberg,location/taaienberg,0.6,6.8,78,81,e3-harelbeke
Paterberg,location/paterberg,0.4,10.3,68,44,e3-harelbeke
Scherpenberg,location/scherpenberg,2.1,2.1,89,97,gent-wevelgem
Scherpenberg,location/scherpenberg,2.1,2.1,89,44,gent-wevelgem
Baneberg,location/baneberg,1.0,6.4,132,92,gent-wevelgem
Baneberg,location/baneberg,1.0,6.4,132,40,gent-wevelgem
Monteberg,location/monteberg,0.9,5.2,97,86,gent-wevelgem
Monteberg,location/monteberg,0.9,5.2,97,54,gent-wevelgem
Kemmelberg (Ossuaire),location/kemmelberg,0.7,11.4,155,34,gent-wevelgem
Kemmelberg (Belvedère),location/kemmelberg,0.4,7.4,138,84,gent-wevelgem
Kemmelberg (Belvedère),location/kemmelberg,0.4,7.4,138,52,gent-wevelgem
Hellestraat,location/hellestraat,1.5,3.5,77,137,dwars-door-vlaanderen
Kanarieberg,location/kanarieberg,1.2,8.3,151,66,dwars-door-vlaanderen
Ladeuze,location/ladeuze,1.2,5.4,81,38,dwars-door-vlaanderen
Knokteberg - Trieu,location/knokteberg-trieu,1.1,7.6,113,93,dwars-door-vlaanderen
Knokteberg - Trieu,location/knokteberg-trieu,1.1,7.6,113,53,dwars-door-vlaanderen
Volkegemberg,location/volkegemberg,1.0,4.5,80,117,dwars-door-vlaanderen
Berg Ten Houte,location/berg-ten-houte,1.0,5.7,108,72,dwars-door-vlaanderen
Kortekeer,location/kortekeer,0.9,6.6,81,85,dwars-door-vlaanderen
Hotond,location/hotondberg,0.8,5.2,156,101,dwars-door-vlaanderen
Hotond,location/hotondberg,0.8,5.2,156,49,dwars-door-vlaanderen
Nokere,location/nokereberg,0.8,4.1,53,9,dwars-door-vlaanderen
Nokereberg,location/nokereberg,0.4,3.9,54,22,dwars-door-vlaanderen
Nieuwe Kruisberg/Hotond,location/kruisberg-hotond,2.7,4.1,158,64,ronde-van-vlaanderen
Oude Kwaremont,location/oude-kwaremont,2.6,3.5,102,134,ronde-van-vlaanderen
Oude Kwaremont,location/oude-kwaremont,2.6,3.5,102,17,ronde-van-vlaanderen
Oude Kwaremont,location/oude-kwaremont,2.6,3.5,102,54,ronde-van-vlaanderen
Oude Kruisberg/Hotond,location/kruisberg-hotond,2.5,4.2,158,26,ronde-van-vlaanderen
Marlboroughstraat,location/marlboroughstraat,1.8,3.1,99,95,ronde-van-vlaanderen
Steenbeekdries,location/steenbeekdries,1.1,2.5,59,39,ronde-van-vlaanderen
Berg Ten Houte,location/berg-ten-houte,1.1,5.7,112,74,ronde-van-vlaanderen
Kapelleberg,location/kapelleberg,0.9,6.3,90,115,ronde-van-vlaanderen
Berendries,location/berendries,0.9,6.4,90,91,ronde-van-vlaanderen
Valkenberg,location/valkenberg,0.6,6.9,89,86,ronde-van-vlaanderen
Koppenberg,location/koppenberg,0.6,9.7,69,45,ronde-van-vlaanderen
Wolvenberg,location/wolvenberg,0.6,6.5,68,112,ronde-van-vlaanderen
Taaienberg,location/taaienberg,0.5,8.0,77,37,ronde-van-vlaanderen
Paterberg,location/paterberg,0.4,9.5,66,51,ronde-van-vlaanderen
Molenberg,location/molenberg,0.4,7.1,55,99,ronde-van-vlaanderen
Paterberg,location/paterberg,0.4,9.7,66,13,ronde-van-vlaanderen
Usategieta Gaina,location/alto-de-usategieta,10.8,3.5,696,131,itzulia-basque-country
Gorla,location/alto-de-elosua,9.6,5.6,678,93,itzulia-basque-country
Otsondo,location/Col-de-otxondo,7.8,6.0,571,182,itzulia-basque-country
Zuarrarte,location/alto-de-zuarrarrate,6.8,3.4,794,105,itzulia-basque-country
Lizarrusti,location/alto-de-lizarrusti,6.3,5.2,630,18,itzulia-basque-country
Opakua,location/alto-de-opakua,6.2,6.2,1019,117,itzulia-basque-country
Urkiola,location/puerto-de-urkiola,5.6,9.1,707,88,itzulia-basque-country
Azurki,location/azurki,5.1,7.4,669,113,itzulia-basque-country
Krabelin,location/krabelin,5.0,9.5,576,68,itzulia-basque-country
Urkaregi,location/urkaregi,5.0,4.6,341,13,itzulia-basque-country
Uitzi,location/alto-de-uitzi,4.4,7.3,799,121,itzulia-basque-country
Izua,location/alto-de-izua,4.1,9.0,540,28,itzulia-basque-country
Muniketagaina,location/alto-de-muniketagane,3.4,7.3,376,38,itzulia-basque-country
Muniketagaina,location/alto-de-muniketagane,3.4,7.3,376,13,itzulia-basque-country
Trabakua,location/trabakua,3.3,6.9,396,46,itzulia-basque-country
Olaeta,location/olaeta,3.2,5.7,757,41,itzulia-basque-country
Leintz-Gatzaga,location/leintz-gatzaga,3.1,8.5,609,8,itzulia-basque-country
Saint-Ignace,location/saint-ignace,2.7,5.1,155,140,itzulia-basque-country
